env,lr,discount,epsilon,min_eps,states_size,episodes,monitor_reward_eps,display,img_folder,seed,duration_sec,last_reward,mean_rewards
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.1,0.9,0.8,0.0,"[5, 50]",5000,10,False,imgs,2019,22.67927169799805,-200.0,-199.6168
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.1,0.9,0.8,0.0,"[10, 100]",5000,10,False,imgs,2019,21.68872165679932,-173.9,-195.2092
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.1,0.9,0.8,0.0,"[15, 80]",5000,10,False,imgs,2019,22.42794966697693,-178.9,-196.8908
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.1,0.9,0.8,0.0,"[10, 200]",5000,10,False,imgs,2019,22.414782524108887,-173.8,-195.2474
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.1,0.9,0.8,0.1,"[5, 50]",5000,10,False,imgs,2019,22.237294435501102,-200.0,-199.99200000000002
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.1,0.9,0.8,0.1,"[10, 100]",5000,10,False,imgs,2019,22.30820322036743,-186.4,-197.8762
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.1,0.9,0.8,0.1,"[15, 80]",5000,10,False,imgs,2019,22.3649263381958,-200.0,-198.4884
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.1,0.9,0.8,0.1,"[10, 200]",5000,10,False,imgs,2019,22.05819630622864,-161.4,-197.1312
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.1,0.9,0.9,0.0,"[5, 50]",5000,10,False,imgs,2019,22.253183841705322,-200.0,-199.2572
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.1,0.9,0.9,0.0,"[10, 100]",5000,10,False,imgs,2019,21.716846704483032,-189.1,-196.3076
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.1,0.9,0.9,0.0,"[15, 80]",5000,10,False,imgs,2019,21.817694902420047,-160.8,-197.0452
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.1,0.9,0.9,0.0,"[10, 200]",5000,10,False,imgs,2019,21.926478624343872,-172.6,-196.1066
